model_region,activity,value
BE25,RAPE,16068.2355077988
BE25,OOIL,49600.1404006008
BE25,OIND,986440.086965316
BE25,NURS,451056.10880625
BE25,FLOW,389009.249797474
BE25,OCRO,19970.0643334404
BE25,MAIF,63.4058164390031
BE25,ROOF,1107.98399367555
BE25,OFAR,183.860367370803
BE25,GRAE,11.3676800584368
BE25,GRAI,14.7123014911187
BE25,PULS,2395.01679585111
BE25,POTA,692.366542542565
BE25,SUGB,305.164457057709
BE25,TEXT,2176.30570769885
BE25,TOMA,5352718.23520962
BE25,OVEG,1729.95461098778
BE25,APPL,87908.1280953262
BE25,OFRU,80326.7986530925
BE25,TAGR,4127286.32557481
BE25,TWIN,409427.449656482
BE25,FALL,552645.279331153
BE25,VSET,318.342216108151
BE25,DCOL,143.197684307497
BE25,DCOH,210.170323445692
BE25,BULL,64.5264557163358
BE25,BULH,97.6809808887268
BE25,HEIL,941.60524001897
BE25,HEIH,1435.50910669278
BE25,SCOW,10.6473728836904
BE25,HEIR,24.2725117568358
BE25,CAMF,11.3081780668976
BE25,CAFF,56.1040745057252
BE25,CAMR,29.1367728579849
BE25,CAFR,12.4069881808111
BE25,PIGF,0.0248558338540213
BE25,SOWS,2.97120075584784
BE25,SHGM,38.4753842412917
BE25,SHGF,9.89334111782835
BE25,HENS,6072.56273730977
BE25,POUF,139.958732070363
BE25,OANI,97062.7087423202
BE31,SWHE,24.0535883180757
BE31,RYEM,13809.1253467997
BE31,BARL,93.393229669212
BE31,OATS,3151.88104633862
BE31,CORN,837.481057352518
BE31,OCER,762.709545892039
BE31,RAPE,2996.48181461074
BE31,OOIL,66030.809076286
BE31,OIND,234700.347471914
BE31,NURS,1839106.59133286
BE31,FLOW,4498755.47509163
BE31,OCRO,812631.069104428
BE31,MAIF,97.0156113440746
BE31,ROOF,10792.7745556165
BE31,OFAR,1123.98188230292
BE31,GRAE,75.3269945003006
BE31,GRAI,107.745910866976
BE31,PULS,3721.69279825392
BE31,POTA,1481.376449398
BE31,SUGB,466.762775818149
BE31,TEXT,8974.9176682385
BE31,TOBA,8630027.94174511
BE31,TOMA,21715396.7567516
BE31,OVEG,6943.40984929964
BE31,APPL,348048.188579366
BE31,OFRU,315144.498944598
BE31,TAGR,16658813.0862268
BE31,TWIN,1655861.52315572
BE31,FALL,252579.03322556
BE31,VSET,156.753719451392
BE31,DCOL,1986.60454347608
BE31,DCOH,2910.88005481288
BE31,BULL,403.818295348837
BE31,BULH,611.619871971622
