model_region,BULF,BULH,BULL,CAFF,CAFR,CALV,CAMF,CAMR,CATA,DCOH,DCOL,DCOW,GOAT,HEIF,HEIH,HEIL,HEIR,HENS,PIGF,PIGS,POUF,POUL,SCOW,SHEP,SHGF,SHGM,SHGT,SOWS
DE27,31.3762210777954,18.827703261105,12.5485178166904,1.84107589079049,56.2483408952013,106.406428519635,5.55794718275367,42.7590645508895,607.397289288049,147.275753391496,147.275753391496,294.551506782992,,23.4687027699366,16.7973034161199,6.67139935381667,143.670836612256,0.403046495970466,332.843357037544,509.79607365147,0.848067118142833,1.2511136141133,7.92359352543363,,15.3006510198894,29.9342141750813,45.2348651949707,41.7137219262128
DE40,39.7945358062493,26.9989381517988,12.7955976544505,2.88276968601296,140.559649008438,258.975514348771,8.67573504423963,106.857360610081,654.989867667315,75.9823391036015,75.9823391036014,151.964678207203,,10.0790172341221,7.50891803851302,2.57009919560904,102.64961115552,2.96638900762731,488.912623805889,959.580301768658,6.88552364844187,9.85191265606918,91.5265109154497,,27.694850557285,54.2034793697262,81.8983299270112,111.005456670642
DE71,19.6903888295636,13.248000464551,6.44238836501259,0.724171190085021,25.493679686608,47.7570663515969,2.15831196085513,19.3809035140487,130.213810038074,12.8707116361016,12.8707116360963,25.7414232721979,,3.91114342804634,2.89036151495637,1.02078191308997,19.7875098402564,0.152046686104197,48.0334538668392,50.5752530605954,0.355393964341549,0.507440650445745,13.3262783164131,,12.4109192918021,24.2751905204656,36.6861098122678,0.594911640968405
DE72,11.2920200059699,7.67371625825082,3.61830374771912,0.615184323513782,21.6568201939252,40.5695125079652,1.8334894271179,16.4640185634084,132.769639420864,18.537093320468,18.5370933204729,37.0741866409409,,4.72136607032163,3.51644326259668,1.20492280772495,24.892307078166,0.0873826075423748,69.0804214569915,128.040111319897,0.175530931515365,0.26291353905774,14.2202471174999,,15.9500318981417,31.1976870257256,47.1477189238672,13.8983035504659
DE73,13.8858335659858,8.71258403475576,5.17324953123009,0.843893779121155,34.8222449124447,64.5680630459779,2.4295465030173,26.4723778513947,227.376550715879,38.2470096522133,38.2470096522137,76.494019304427,,5.12469738830493,3.58200030962334,1.54269707868159,50.1608987499503,0.143985482032065,255.51299822351,395.642543700747,0.334533226087753,0.478518708119819,17.1430386612329,,16.5642839413,32.3990840411112,48.9633679824113,33.0319823962721
DE80,32.7909291853041,20.7937605141058,11.9971686711983,2.54668556961243,143.334568694209,262.248972272248,7.40154257859961,108.966175429827,645.60774839466,85.2785071018382,85.2785071018382,170.557014203676,,7.81028268804963,5.51486629250668,2.29541639554296,104.943829770651,2.96542976496283,532.41739530165,1008.41015757558,6.81778685595595,9.78321662091878,67.2567202747308,,27.3119302712921,53.4452468790537,80.7571771503458,112.229588438743
DE91,,,,1.8089946685514,43.9666380406791,83.787699146002,5.27298786662999,32.7390785701415,130.544095105441,9.66803660976618,9.66803660976618,19.3360732195324,,0.607478496763191,0.42270416022656,0.18477433653663,21.3018685672501,0.162270117831204,147.420305932914,196.648409187419,0.336514782390095,0.498784900221299,5.51097567589312,,3.50036885317212,6.85007345936948,10.3504423125416,11.602267708341
DE92,8.95250382131229,5.63796898635341,3.31453483495888,2.03754967797987,55.1834984454934,105.322028100699,6.1484559321582,41.9525240450672,230.400798601707,30.0711355927737,30.0711355927737,60.1422711855475,,3.66502652001152,2.77904587304551,0.885980646966003,41.7276134695759,1.652530753833,768.624846531846,1116.56426611577,3.7788110097439,5.4313417635769,10.5913555045614,,11.5166096574537,22.5324621931231,34.0490718505769,82.0343286095987
DE93,82.0004870290117,49.2050674619496,32.7954195670621,3.54236486463653,95.9495971525617,183.127358677552,10.6893027675397,72.9460938928138,843.846215419548,172.904070295349,172.904070295349,345.808140590698,,18.5219251148542,13.5694001219604,4.95252499289383,187.080825047144,1.41815862819451,988.489887391862,1436.42039385513,3.27866846387125,4.69682709206576,27.3074789602893,,21.7649084769185,42.5823541639589,64.3472626408775,105.617548909293
DE94,151.578617837901,92.3159974182996,59.2626204196009,3.73299476798435,101.095603085008,192.948853839364,11.2646090079741,76.8556469783971,1080.73464193227,220.644155698917,220.644155698917,441.288311397834,,24.0383959554652,17.8180728653719,6.22032309009327,243.132833816279,17.1570667330513,3873.26072805094,5655.76783120974,39.726034111542,56.8831008445934,27.7476290854275,,30.7361618258737,60.1320702891839,90.8682321150576,420.295507057546
