model_region,FCER,FCOM,FEED,FGRA,FMAI,FMIL,FOFA,FOTH,FPRO,FROO,FSGM,FSTR
FRJ2,47086.595589875295,3164.043105995723,16494.857042119096,148408.91620126946,20728.976986781225,4113.448224760306,111376.90690443054,2221.6736918496395,21078.55183661269,263.6146544726604,50.40551496692908,3297.4294449528115
FRK1,49520.63465625122,4416.862064647141,15937.792619275058,190888.41070897214,17819.331160244586,3983.3091751159177,70542.72201180414,2240.3126202424037,21011.009525931975,362.59656755032404,34.55815298293716,2330.02698801164
FRK2,46988.442723835426,1814.2106986513693,16182.85117831784,204052.0750443701,35063.38492382554,4005.108642609806,53672.866738469296,2194.9300045444634,23256.833221317574,842.4815940932384,31.74167406234275,3022.5019336864784
FRL0,42348.14521460566,550.0903143014526,15192.504895875629,279904.03550643084,768.0407849725982,4185.337938031015,32294.859291404628,2121.401605092024,13361.669540182349,215.65150460445122,59.516369496965375,2314.093317412223
FRM0,44279.25506562814,2286.7062971309215,14936.404235249933,280116.46716308384,391.88077595847363,4111.919533031283,10538.351445443473,2095.985953017829,13578.488963352895,271.88264659868304,42.39982441508927,1694.1536395364171
HU21,57283.991601967755,3320.53431400611,18342.55468555906,119636.30190683123,60193.74112137379,6227.216325609966,39423.20717125183,8693.528718631856,27540.627676673597,218.7606681996624,21.958537579557646,7492.558094296975
HU22,56927.97983537299,2910.2095844716,18117.769069666585,97026.95169584148,73604.5388689479,6223.715292968253,30287.34376273653,8585.702205241949,28955.67286203765,271.82767898831264,21.20520492251239,7642.814218017507
HU23,57420.24110423044,3078.706837663167,18019.807575375802,115102.1972927625,57401.83289419891,6241.600897737261,40747.654696227575,8531.802354655974,27269.10043807431,298.15175851095813,21.911080477562138,7595.017234374053
HU31,53525.90655864946,3886.0842071724946,18259.0806644293,161549.55522136713,36888.48060387921,6239.467768716981,47467.551175223365,8235.385517146256,25964.34674561521,334.47038625626425,22.484282064900643,7204.067114115037
HU32,52266.212103005084,3188.0745446775645,20754.49950587808,161950.18708276455,42850.61669840444,6232.720894770364,38124.28786981864,10746.240725942454,41848.76121203793,325.891810447336,23.377157286731094,7405.0224738772595
HU33,55642.70996716041,2910.447562820883,19212.217530719918,148754.31936589413,40641.417031330966,6241.507390914936,42758.89986980289,10036.12579351767,31826.045826832607,472.8264157007063,22.984239269411844,7408.6268311537815
ITC1,53591.00960049272,2659.761045200555,19560.008283415566,104014.3871498105,65034.3423152853,4958.777993576863,25000.764241484816,4691.534910372983,34318.246186899916,309.7080985143533,30.167402541509663,1258.1716295336907
