,count,mean,min,max,source
p_maxFeedShare,45,0.2793333777777778,0.0,0.95,supply/set_supply_bounds.gms
p_technFact,114,3626.738315807018,-1.0,100000.0,supply/unload_iy.gms
p_chk_mTradeCal,2,0.0,0.0,0.0,baseline/check_cal.gms
p_animReq,15,0.0,0.0,0.0,feed/req_or_man_fnc.gms
p_animReqCopy,1,0.0,0.0,0.0,baseline/fedtrm_prep.gms
p_fedtrmHasIniPoint,5,0.4,0.0,1.0,feed/fedtrm_cal_pw.gms
p_feedQuant,2,0.0,0.0,0.0,farmtype/frmb_consis_yields.gms
p_aprDistAnimReq,46,0.2543478260869565,0.0,1.0,feed/set_prior.gms
p_aglink,47,0.0,0.0,0.0,global/bio_fuel_markets_aglink2011oecd.gms
p_secgShare,44,0.6409090909090909,0.0,1.0,baseline/load_aglink2024dgAgri.gms
P_Result,28,0.0,0.0,0.0,captrd/rem_tiny.gms
p_result,32,0.28125,0.0,9.0,captrd.gms
p_nagrShare,16,1.0,1.0,1.0,baseline/load_aglink2017dgAgri.gms
p_demShare,22,1.0,1.0,1.0,baseline/load_aglink2017dgAgri.gms
p_aglinkTrd,49,0.0,0.0,0.0,baseline/load_aglink2024dgAgri.gms
p_primesResults,4,0.0,0.0,0.0,biofuel/biofuel_trends.gms
p_expertSupprt,48,28.645833333333332,0.0,250.0,captrd/conservative_biofuel_trends_EU.gms
p_ExpertSupprt,54,51.19148148148148,0.0,631.0,sugar/kws_support.gms
P_expertSupprt,40,7.3,1.0,10.0,biofuel/biofuel_trends.gms
p_primesWithUnits,1,0.0,0.0,0.0,biofuel/biofuel_trends.gms
p_AVGDAT,45,0.0,0.0,0.0,coco/coco2_shares.gms
p_domm,2,0.0,0.0,0.0,biofuel/calc_feedstock_share.gms
p_bioSupPar,1,0.5,0.5,0.5,biofuel/def_biofuel_params.gms
P_palmData,6,0.0,0.0,0.0,biofuel/palm_oil.gms
p_prepare_biofuel,7,0.0,0.0,0.0,biofuel/prepare_biofuel_data.gms
p_usda,3,0.0,0.0,0.0,biofuel/prepare_biofuel_data.gms
p_biofData,4,125.0,0.0,300.0,biofuel/prepare_biofuel_data.gms
p_comext_biotrade,1,0.0,0.0,0.0,biofuel/update_biofuel_tradeflows.gms
p_biofuelTrade,1,0.0,0.0,0.0,biofuel/update_biofuel_tradeflows.gms
p_LUUnits,7,6.428571428571429,1.0,14.0,capdis/est_stock_dens.gms
p_regShare,1,1.0,1.0,1.0,capdis/est_crop_levels.gms
p_adHocForecast,3,2.0,1.0,3.0,capdis/est_crop_levels.gms
p_levlMean,2,5e-11,0.0,1e-10,capdis/est_crop_levels.gms
p_step,3,1.3333333333333333,1.0,2.0,capdis.gms
p_status,16,2.375,-1.0,8.0,farmtype/frmb_consis_level.gms
p_handle,3,0.0,0.0,0.0,capdis/est_stock_dens.gms
p_aprioDistEst,3,0.0,0.0,0.0,capdis/est_crop_levels.gms
p_levlStde,1,0.0,0.0,0.0,capdis/est_crop_levels.gms
p_xDNDC,1,0.0,0.0,0.0,capdis/est_dndc_meta.gms
p_xMeta,1,0.0,0.0,0.0,capdis/est_dndc_meta.gms
p_distance,1,0.0,0.0,0.0,capdis/est_stock_dens.gms
p_tempStore,5,1.0,1.0,1.0,capdis/est_yields_irri.gms
p_fertData,2,0.0,0.0,0.0,capdis/fert_nut.gms
p_data,57,35088252.614035085,0.0,1000000000.0,captrdfrm.gms
p_nflows,1,0.0,0.0,0.0,capdis/nflows.gms
p_dm,5,0.758,0.25,0.9,report_agmip/read_some_refrun_data.gms
p_pastsuit,6,0.3370066666666667,4e-05,1.368,capdis/spat_hnv.gms
p_Cmfactor,2,1.0,1.0,1.0,reports/soil_erosion.gms
p_Cmtillrescov,2,1.0,1.0,1.0,reports/def_cbalance.gms
p_Cmtillresfactor,2,1.0,1.0,1.0,reports/soil_erosion.gms
p_soillos,2,0.0,0.0,0.0,capdis/spat_soillos.gms
p_levlmean,3,0.0,0.0,0.0,capdis.gms
p_levlstdeori,4,0.0,0.0,0.0,capdis.gms
p_levlunit,2,0.0,0.0,0.0,capdis.gms
