name,desc,source
s_d_consLevl,Dual analysis items for model m_conslevl,capreg/cons_levls_dual_analysis_declarations.gms
dualConsLevlItems,Stuff to report in the Lagrangean decomposition,capreg/cons_levls_dual_analysis_declarations.gms
priStat,Parameters of prior distribution,capreg/cons_levls_tj.gms
priSource,Sources of prior distribution,capreg/cons_levls_tj.gms
sourceLanduseRows,EUROSTAT domains with potentially overlapping data,capreg/load_LUCAS.gms
REGACT,Production activities defined in REGIO domain of EUROSTAT,capreg/regio_sets.gms
REGPOS,Positions of REGIO data base,capreg/regio_sets.gms
roadTypes,types of roads considered here,coco/coco1_roads.gms
roadinfo,road information are the data and an indicator for years without breaks,capreg.gms
NTS,Nuts levels,capreg.gms
IFM_O,IFM-CAP products and feed,capri_ifm/common_sets.gms
shepGoatOri,AgriProd original December survey information on sheep or goats,captrd/agriprod_supports.gms
agriprodCalc,AgriProd derived December survey information used to guide short run projections,captrd/agriprod_supports.gms
agriprod,Any AgriProd survey information plus activity levels to target,captrd/agriprod_supports.gms
MSagriprod,MS in coco notation to make use of gdx file,captrd/agriprod_supports.gms
fac,factors for projecting from some basis year to the nowcasting years up to 2020,captrd/agriprod_supports.gms
xpCOLS,union of all columns or column groups provided by nat sources,captrd/national_supports.gms
xpROWS,union of all rows or row groups provided by nat experts,captrd/national_supports.gms
Y,Dummy set used in order to be able to read data,captrdfrm.gms
intCat,Categories of intermediate inputs,cgemrk/cgemrk_sets.gms
not_mated,Animal counting occasion for sows not yet mated,coco/coco1_anim.gms
ABORTCAT,ABORT CATEGORIES for compilation of ABORT INFORMATION in one single parameter,coco/coco1_check_final.gms
pes_source,sets for pesticide calculations,coco/coco1_fao.gms
chkitems,Information dumped into checking file from coco1_estima for cols and rows,coco/coco2_integrate_coco1_results.gms
inilandusecheck1,elements stored on p_landuseMS in coco1_estimc1.gms,coco/coco1_estimc1.gms
inilandusecheck2,elements stored on p_landuseMS in coco1_estimc2gms,coco/coco1_estimc1.gms
inilandusecheck3,elements stored on p_landuseMS in coco1_finish_eaa.gms,coco/coco1_estimc1.gms
inilandusecheck4,elements stored on p_landuseMS in coco1_finish_landuse.gms,coco/coco1_estimc1.gms
landusecheck,Information of interest for checking from land use consolidation in coco1,coco/coco2_integrate_coco1_results.gms
TOINsel,Selected elements of total input,coco/coco1_eurostat.gms
EAAsel,Selected EAA columns,coco/coco1_eurostat.gms
F_highYld,fodder items with too high yields in PL,coco/coco1_eurostat_fodd.gms
usableRoadInfo,info passed on to coco1_estimc1 or cons_levls,coco/coco1_roads.gms
subPeriod,number of subperiod with a common definition of road data,coco/coco1_roads.gms
STATUS,Status of data completion,coco/coco1_sets.gms
MS15REG,Member states of EU15,coco/coco1_sets.gms
MSNEWREG,New Member states,coco/coco1_sets.gms
CMSSUP,Candidate Member States with national data replacing Eurostat,coco/coco1_sets.gms
CMSREG,Candidate Member States,coco/coco1_sets.gms
KOorCS,Serbia or Kosovo,coco/coco1_sets.gms
NotMSEUReg,Regions in Eurostat data which aren t in MSEU,coco/coco1_sets.gms
ALL_Regini,All Regions in Eurostat or COCO data,coco/coco1_sets.gms
mainItem,main items of potential use from any (UNFCCC) crf table,fao/fao_land_consolidation.gms
EGRP,Estimation groups for COCO_ESTIMA,coco/coco1_sets.gms
LowNoColNoRow,LowPos items neither in COLS nor in Rows,coco/coco1_sets.gms
LowNoColButRow,Lowpos items not included in COLS but in ROWS,coco/coco1_sets.gms
LowNoCol,Lowpos items not included in COLS,coco/coco1_sets.gms
LowCol,Lowpos items also included in COLS,coco/coco1_sets.gms
LowPos,Positions for lower limits in crop sector,coco/coco1_sets.gms
DairyAddCol,Additional COCO columns for import of dairy data,coco/coco1_sets.gms
OtherAddCol,Additional COCO columns for other purposes,coco/coco1_sets.gms
AnimAddCol,Additional COCO (ASS-)columns for import of animal herd size data,coco/coco1_sets.gms
FSSAddCol,Additional COCO columns for import of FSS data,coco/coco1_sets.gms
ASS_COLS,COCO columns used for data assignment,coco/coco1_sets.gms
FSSKnownCol,Known columns for import of FSS data,coco/coco1_sets.gms
EAAAddRow,Additional COCO rows for EAA data incl EAA price indices,coco/coco1_sets.gms
ASS_ROWS,COCO rows used for data assignment,coco/coco1_sets.gms
survey,Animal counting occasion,coco/coco1_sets.gms
MQuotaInfo,"Types of information on milk quotas, deliveries, and direct sales",coco/coco2_sets.gms
MS_SGMI,MS with reasonable SGMI prices,coco/coco2_collect.gms
allmat,All material forms of N and CH4,envind/sets_ammo.gms
country_excel,country names in EUMOFA source,coco/coco2_fish_cprices.gms
fish_excel,fish types in EUMOFA source,coco/coco2_fish_cprices.gms
cprice,column name of EUFOMA consumer price in �/kg,coco/coco2_fish_cprices.gms
biofCheckItems,biofuel items in checking output potentially filled with numbers,coco/coco2_integrate_coco1_results.gms
quantity,Quantity items of interest for checking from land use consolidation in coco1,coco/coco2_integrate_coco1_results.gms
toAny,"aggregates of LUC to each luCLass, excluding noLUC",coco/coco2_lulucf_carbon.gms
fromAny,"aggregates of LUC from each luCLass, excluding noLUC",coco/coco2_lulucf_carbon.gms
lulucpart,LULUC areas and aggregates useful for comparison between UNFCCC and COCO,coco/coco2_lulucf_carbon.gms
HistYr,Old SPEL years used in data from Eurostat domain HIST and some other input files,coco/coco2_sets.gms
NoPriNoILO,Consumption items with prices neither from PRICE nor from ILO,coco/coco2_sets.gms
PriNoILO,Consumption items with prices from PRICE not from ILO,coco/coco2_sets.gms
ILONoPri,Consumption items with prices from ILO not from PRICE,coco/coco2_sets.gms
ILOAndPri,Consumption items with prices from ILO and from PRICE,coco/coco2_sets.gms
CONROWS,Consumption items,coco/coco2_sets.gms
JROWS,ROWS with consumer prices,coco/coco2_sets.gms
SRC,sources or status of consumer prise information,coco/coco2_sets.gms
FAORegionsExtended,FAO regions plus some auxiliary region codes,global/fao_codes_new.gms
info,info types on p_luc_matric,coco/decl_adjust_luc.gms
rdSpender,Source of funding and type of data for RDP measure,compile_rdp_data/build_general_set_structure.gms
rdPlanSpend,Planned (budget) or actual spending,compile_rdp_data/build_general_set_structure.gms
s_additionalrdMeasure0006,Additional aggregate measures in 2000-2006 RDP,compile_rdp_data/build_general_set_structure.gms
rdMeasure,Individual rural development measures,compile_rdp_data/build_general_set_structure.gms
rdYears,Years with RD budget data,policy/rd_sets.gms
subMeasures,sub measures of agri environmental schemes progam RDP 2014-20,compile_rdp_data/create_aes_data.gms
farmPractices,farm practices in agri environmental schemes RDP 2014-20,compile_rdp_data/sets_cap_fp.gms
rdCofinEU,Temporary set constructed to read gdx file,compile_rdp_data/load_cofinancing_rates_2007_2013.gms
META_s,Meta data,compile_rdp_data/set_meta_data.gms
subMeasures1420,sub measures of agri environmental schemes progam RDP 2014-20,compile_rdp_data/sets_cap_fp.gms
ft,Fertilizertype of N: ureum and other,reports/gases_thread.gms
f,Single farmsin the farm types,cropDiv.gms
RESOURCE_GRP,resource aggregates,enerind/enerind_sets.gms
CUTT,Cuttings of grassland,enerind/enerind_sets.gms
ALT_TYPES,altitude above sea-level,enerind/enerind_sets.gms
PARC_SIZE,Plot size,enerind/enerind_sets.gms
DEPB_TYPE,building types for animal activities,enerind/enerind_sets.gms
DEPB_SIZE,building size types for animal activities,enerind/enerind_sets.gms
ControlSrc,Different sources of control strategies for checking purposes,envind/Miterra/aggregate_control_strategies.gms
combiRAINS,original RAINS abatement technologies defined as combinations,envind/Miterra/sets_miterra.gms
regRAINS,regions in RAINS,envind/Miterra/sets_miterra.gms
actRAINS,animal production systems in RAINS,envind/Miterra/sets_miterra.gms
ScenRAINS,Rains scenario's,envind/Miterra/sets_miterra.gms
ScenND,scenarios Nitrate directive,envind/Miterra/sets_miterra.gms
uaaLu,Items for handling flexible limits on livestock densities,envind/RedLvst.gms
nvzLvst,area categories in original livestock distribution data,envind/RedLvst.gms
percentils,percentils of uaa ordered by LS density plus total,envind/RedLvst.gms
luSel,selection of livestock type,envind/RedLvst.gms
gainscountry,gains countries,prep_gains_data_jul15.gms
gainsact,gains activities,prep_gains_data_jul15.gms
ItemsForCapriAnCh,items loaded for AD based on animalChange data,envind/ad_data_and_cali.gms
biodivtaxa,Biodiversity indicator taxa,envind/bfp_sets_parameters.gms
speciestoxi,Toxicities for 7 taxa,envind/bfp_sets_parameters.gms
yr_A,auxiliary set to use p_crprReq both for requirements and manure output,envind/breeding.gms
headItem,header items of potential use from any (UNFCCC) crf table,fao/fao_land_consolidation.gms
allUnit,Units used in (UNFCCC) crf tables,fao/fao_land_consolidation.gms
crfRegion,regions which deliver CRF fertiliser data to UNFCCC,fert_to_gdx.gms
digDim3,Rows and other elements entering on dimension 3 of p_digestPar,envind/def_digestibility.gms
emisRegGdx,regions filled with raw data on emission parameters from gdx,envind/gascoeff.gms
transport,transport categories,envind/enerLca.gms
LimCat,type of fertilizer limits,envind/envConstraints.gms
ADDSEC,processing sectors which are not in cols,envind/gas_per_commodity_ipcc.gms
myBal,Balance positions used in IO model,envind/gas_per_commodity_ipcc.gms
orgSoilInfo,Information from organic soil share file,envind/lulucf_carbon_decl.gms
FeatChar,characteristics of landscape features,envind/landscape.gms
luJRC,landuse classes (plus some supplements) covered in JRC report Carre et al 2010,envind/lulucf_carbon_decl.gms
aggOrDisagg,JRC areas may be given for totals or disaggregate categories,envind/lulucf_carbon_decl.gms
biokind,"biomass, litter oder sum of biomass and litter",envind/lulucf_carbon_decl.gms
biobalance,Biomass stock or change components,envind/lulucf_carbon_decl.gms
reggrp,"worldwide, geographical regions",envind/lulucf_carbon_decl.gms
