region,group1,group2,coef
BL350000,OILS,OILS,365.1871225908192
BL350000,OILS,OARA,-68.97708304317922
BL350000,OILS,FARA,-118.7616356459176
BL350000,OILS,NOCR,-119.3768236564522
BL350000,OARA,CERE,0.0
BL350000,OARA,CER2,0.0
BL350000,OARA,OILS,0.0
BL350000,OARA,OARA,403.1678536341346
BL350000,OARA,FARA,151.0069691541335
BL350000,OARA,NOCR,349.9160029092822
BL350000,FARA,CERE,0.0
BL350000,FARA,CER2,0.0
BL350000,FARA,OILS,0.0
BL350000,FARA,OARA,0.0
BL350000,FARA,FARA,80.9956509786767
BL350000,FARA,NOCR,146.7102734348485
BL350000,NOCR,CERE,0.0
BL350000,NOCR,CER2,0.0
BL350000,NOCR,OILS,0.0
BL350000,NOCR,OARA,0.0
BL350000,NOCR,FARA,0.0
BL350000,NOCR,NOCR,313.7194588939481
BL400000,CERE,CERE,3.493439579241632
BL400000,CERE,CER2,19.28175573887273
BL400000,CERE,OILS,17.85643711637195
BL400000,CERE,OARA,0.0
BL400000,CERE,FARA,-23.22907913152721
BL400000,CERE,NOCR,-49.08558516409008
BL400000,CER2,CERE,0.0
BL400000,CER2,CER2,151.4381014971094
BL400000,CER2,OILS,43.07294087420807
BL400000,CER2,OARA,0.0
BL400000,CER2,FARA,-121.3195229804348
BL400000,CER2,NOCR,-274.1384487659382
BL400000,OILS,CERE,0.0
BL400000,OILS,CER2,0.0
BL400000,OILS,OILS,322.0767068408665
BL400000,OILS,OARA,0.0
BL400000,OILS,FARA,-198.6905611427665
BL400000,OILS,NOCR,-330.390721987987
BL400000,OARA,CERE,0.0
BL400000,OARA,CER2,0.0
BL400000,OARA,OILS,0.0
BL400000,OARA,OARA,0.0
BL400000,OARA,FARA,0.0
BL400000,OARA,NOCR,0.0
BL400000,FARA,CERE,0.0
BL400000,FARA,CER2,0.0
BL400000,FARA,OILS,0.0
BL400000,FARA,OARA,0.0
BL400000,FARA,FARA,186.9566374481637
BL400000,FARA,NOCR,362.6153038807973
BL400000,NOCR,CERE,0.0
BL400000,NOCR,CER2,0.0
BL400000,NOCR,OILS,0.0
BL400000,NOCR,OARA,0.0
BL400000,NOCR,FARA,0.0
BL400000,NOCR,NOCR,732.8040512007867
DK000000,CERE,CERE,0.907329286752054
DK000000,CERE,CER2,2.809664214291322
DK000000,CERE,OILS,-0.8152781186139975
DK000000,CERE,OARA,3.203670304876119
DK000000,CERE,FARA,1.816709068360221
DK000000,CERE,NOCR,0.7017918632891653
DK000000,CER2,CERE,0.0
DK000000,CER2,CER2,59.12993835461481
DK000000,CER2,OILS,-21.09993569975681
DK000000,CER2,OARA,41.61791479672096
DK000000,CER2,FARA,-4.58838273963816
DK000000,CER2,NOCR,5.30780394852709
DK000000,OILS,CERE,0.0
DK000000,OILS,CER2,0.0
DK000000,OILS,OILS,13.12596501623501
DK000000,OILS,OARA,-18.50673270445358
DK000000,OILS,FARA,2.793336079769662
DK000000,OILS,NOCR,-2.748556299681772
DK000000,OARA,CERE,0.0
DK000000,OARA,CER2,0.0
DK000000,OARA,OILS,0.0
DK000000,OARA,OARA,34.81870590908858
DK000000,OARA,FARA,-1.578285842498833
DK000000,OARA,NOCR,4.863531749928696
DK000000,FARA,CERE,0.0
DK000000,FARA,CER2,0.0
DK000000,FARA,OILS,0.0
DK000000,FARA,OARA,0.0
DK000000,FARA,FARA,7.359650413844045
DK000000,FARA,NOCR,1.042184214188398
DK000000,NOCR,CERE,0.0
DK000000,NOCR,CER2,0.0
DK000000,NOCR,OILS,0.0
DK000000,NOCR,OARA,0.0
DK000000,NOCR,FARA,0.0
DK000000,NOCR,NOCR,1.0
DE110000,CERE,CERE,19.66995992963285
DE110000,CERE,CER2,-63.42915188458038
DE110000,CERE,OILS,11.98647055910219
DE110000,CERE,OARA,-84.6531201667757
DE110000,CERE,FARA,-33.98663821363176
DE110000,CERE,NOCR,62.08469772495042
DE110000,CER2,CERE,0.0
DE110000,CER2,CER2,204.6197366590719
DE110000,CER2,OILS,-40.49774948227569
DE110000,CER2,OARA,272.7429118145134
DE110000,CER2,FARA,109.6409290001486
DE110000,CER2,NOCR,-200.1894384904356
DE110000,OILS,CERE,0.0
DE110000,OILS,CER2,0.0
DE110000,OILS,OILS,67.19564379709907
DE110000,OILS,OARA,-89.97091332354056
DE110000,OILS,FARA,16.20222324097079
DE110000,OILS,NOCR,51.74530143273588
DE110000,OARA,CERE,0.0
DE110000,OARA,CER2,0.0
DE110000,OARA,OILS,0.0
DE110000,OARA,OARA,470.2723873821133
DE110000,OARA,FARA,54.77897624081864
DE110000,OARA,NOCR,-301.4589501190952
DE110000,FARA,CERE,0.0
DE110000,FARA,CER2,0.0
DE110000,FARA,OILS,0.0
DE110000,FARA,OARA,0.0
DE110000,FARA,FARA,138.0311533561779
DE110000,FARA,NOCR,-77.56137755685563
DE110000,NOCR,CERE,0.0
DE110000,NOCR,CER2,0.0
DE110000,NOCR,OILS,0.0
DE110000,NOCR,OARA,0.0
DE110000,NOCR,FARA,0.0
DE110000,NOCR,NOCR,207.0902664258711
DE120000,CERE,CERE,3.789871861953232
DE120000,CERE,CER2,-26.22123483131332
DE120000,CERE,OILS,14.02395610882422
DE120000,CERE,OARA,-33.02453702295632
DE120000,CERE,FARA,-29.31042158332421
DE120000,CERE,NOCR,24.88484324429195
DE120000,CER2,CERE,0.0
DE120000,CER2,CER2,281.9822201751822
DE120000,CER2,OILS,-127.9215931715209
DE120000,CER2,OARA,277.6438876408138
DE120000,CER2,FARA,325.6575381575211
DE120000,CER2,NOCR,-227.1080819746472
DE120000,OILS,CERE,0.0
DE120000,OILS,CER2,0.0
DE120000,OILS,OILS,174.8103058045491
DE120000,OILS,OARA,-146.8733585073809
DE120000,OILS,FARA,-102.5709612294576
DE120000,OILS,NOCR,108.0328670042272
DE120000,OARA,CERE,0.0
DE120000,OARA,CER2,0.0
DE120000,OARA,OILS,0.0
DE120000,OARA,OARA,436.7397451529857
DE120000,OARA,FARA,249.4695659464561
DE120000,OARA,NOCR,-292.0439541609049
DE120000,FARA,CERE,0.0
DE120000,FARA,CER2,0.0
DE120000,FARA,OILS,0.0
DE120000,FARA,OARA,0.0
DE120000,FARA,FARA,424.8616305113658
DE120000,FARA,NOCR,-235.6225988818185
DE120000,NOCR,CERE,0.0
DE120000,NOCR,CER2,0.0
DE120000,NOCR,OILS,0.0
DE120000,NOCR,OARA,0.0
DE120000,NOCR,FARA,0.0
DE120000,NOCR,NOCR,212.3068077749816
DE130000,CERE,CERE,70.95205677228174
DE130000,CERE,CER2,-13.3378474896114
DE130000,CERE,OILS,3.527505757645406
DE130000,CERE,OARA,135.7614821105686
DE130000,CERE,FARA,29.37613116590717
DE130000,CERE,NOCR,-62.14917230975838
DE130000,CER2,CERE,0.0
DE130000,CER2,CER2,3.551322845904496
DE130000,CER2,OILS,0.7919062538948908
DE130000,CER2,OARA,-32.4689599214848
DE130000,CER2,FARA,-13.1245496764981
DE130000,CER2,NOCR,16.0771388366516
DE130000,OILS,CERE,0.0
DE130000,OILS,CER2,0.0
DE130000,OILS,OILS,206.9136564670728
DE130000,OILS,OARA,-202.4333685452986
DE130000,OILS,FARA,-13.60328640387874
DE130000,OILS,NOCR,53.44578044221785
DE130000,OARA,CERE,0.0
DE130000,OARA,CER2,0.0
DE130000,OARA,OILS,0.0
DE130000,OARA,OARA,778.901135210171
DE130000,OARA,FARA,147.4715764093545
DE130000,OARA,NOCR,-267.5868804184016
DE130000,FARA,CERE,0.0
DE130000,FARA,CER2,0.0
DE130000,FARA,OILS,0.0
DE130000,FARA,OARA,0.0
DE130000,FARA,FARA,72.35378394087887
DE130000,FARA,NOCR,-67.9958467664933
DE130000,NOCR,CERE,0.0
DE130000,NOCR,CER2,0.0
DE130000,NOCR,OILS,0.0
DE130000,NOCR,OARA,0.0
DE130000,NOCR,FARA,0.0
DE130000,NOCR,NOCR,103.0927861968178
DE140000,CERE,CERE,32.59754602544918
DE140000,CERE,CER2,-72.89873711487326
DE140000,CERE,OILS,30.25440985088747
DE140000,CERE,OARA,-120.3216549275824
DE140000,CERE,FARA,-63.12796226139396
DE140000,CERE,NOCR,44.80370349126767
DE140000,CER2,CERE,0.0
DE140000,CER2,CER2,166.639227123288
DE140000,CER2,OILS,-73.32862912108656
DE140000,CER2,OARA,278.4492509153886
DE140000,CER2,FARA,138.0396927356217
DE140000,CER2,NOCR,-97.43573287309411
DE140000,OILS,CERE,0.0
DE140000,OILS,CER2,0.0
DE140000,OILS,OILS,85.594871340719
DE140000,OILS,OARA,-123.0158874428754
DE140000,OILS,FARA,-57.92722008545749
DE140000,OILS,NOCR,47.82705107413619
DE140000,OARA,CERE,0.0
DE140000,OARA,CER2,0.0
DE140000,OARA,OILS,0.0
DE140000,OARA,OARA,468.6529836678012
DE140000,OARA,FARA,224.5902043961419
DE140000,OARA,NOCR,-157.4890391674585
DE140000,FARA,CERE,0.0
DE140000,FARA,CER2,0.0
DE140000,FARA,OILS,0.0
DE140000,FARA,OARA,0.0
DE140000,FARA,FARA,125.3447992610607
DE140000,FARA,NOCR,-90.0859730243884
DE140000,NOCR,CERE,0.0
DE140000,NOCR,CER2,0.0
DE140000,NOCR,OILS,0.0
DE140000,NOCR,OARA,0.0
DE140000,NOCR,FARA,0.0
DE140000,NOCR,NOCR,65.98793776399387
DE210000,CERE,CERE,3.683488609910483
DE210000,CERE,CER2,-15.00727091289796
DE210000,CERE,OILS,8.704464909026111
DE210000,CERE,OARA,-35.35059445187295
DE210000,CERE,FARA,-9.568707804100555
DE210000,CERE,NOCR,17.6012939985728
DE210000,CER2,CERE,0.0
DE210000,CER2,CER2,82.45254485852836
DE210000,CER2,OILS,-25.91834761690086
DE210000,CER2,OARA,95.14639809361755
DE210000,CER2,FARA,59.80253704682999
DE210000,CER2,NOCR,-67.66925501518766
DE210000,OILS,CERE,0.0
DE210000,OILS,CER2,0.0
DE210000,OILS,OILS,68.745914772198
DE210000,OILS,OARA,-113.9432238563521
DE210000,OILS,FARA,-6.071417993357621
DE210000,OILS,NOCR,40.75174545036536
DE210000,OARA,CERE,0.0
DE210000,OARA,CER2,0.0
DE210000,OARA,OILS,0.0
DE210000,OARA,OARA,453.1943650223959
DE210000,OARA,FARA,42.24549512926172
DE210000,OARA,NOCR,-177.3892860132916
DE210000,FARA,CERE,0.0
DE210000,FARA,CER2,0.0
DE210000,FARA,OILS,0.0
DE210000,FARA,OARA,0.0
DE210000,FARA,FARA,47.51460323286224
DE210000,FARA,NOCR,-42.95877221986958
DE210000,NOCR,CERE,0.0
DE210000,NOCR,CER2,0.0
DE210000,NOCR,OILS,0.0
DE210000,NOCR,OARA,0.0
DE210000,NOCR,FARA,0.0
DE210000,NOCR,NOCR,85.52647167673602
DE220000,CERE,CERE,8.610099725459596
DE220000,CERE,CER2,-20.67821665406321
DE220000,CERE,OILS,9.151740509866023
DE220000,CERE,OARA,-33.807483561122
DE220000,CERE,FARA,-1.737245594139625
DE220000,CERE,NOCR,17.80011772964258
DE220000,CER2,CERE,0.0
DE220000,CER2,CER2,64.01718272413427
DE220000,CER2,OILS,-8.955351069539066
DE220000,CER2,OARA,46.25891284467681
DE220000,CER2,FARA,8.20050779885075
DE220000,CER2,NOCR,-17.41562258558757
DE220000,OILS,CERE,0.0
DE220000,OILS,CER2,0.0
DE220000,OILS,OILS,175.8172980699369
DE220000,OILS,OARA,-131.9079625476417
DE220000,OILS,FARA,33.8070289857073
DE220000,OILS,NOCR,77.26699046529293
DE220000,OARA,CERE,0.0
DE220000,OARA,CER2,0.0
DE220000,OARA,OILS,0.0
DE220000,OARA,OARA,262.5069006157885
DE220000,OARA,FARA,-25.23220741230432
DE220000,OARA,NOCR,-155.2287156418729
DE220000,FARA,CERE,0.0
DE220000,FARA,CER2,0.0
DE220000,FARA,OILS,0.0
DE220000,FARA,OARA,0.0
DE220000,FARA,FARA,12.54390202086877
DE220000,FARA,NOCR,15.296242012762
DE220000,NOCR,CERE,0.0
DE220000,NOCR,CER2,0.0
DE220000,NOCR,OILS,0.0
DE220000,NOCR,OARA,0.0
DE220000,NOCR,FARA,0.0
DE220000,NOCR,NOCR,94.0733728702241
DE230000,CERE,CERE,2.9822937634335
DE230000,CERE,CER2,-12.57060314578808
DE230000,CERE,OILS,8.371034087670353
DE230000,CERE,OARA,-22.07318126448464
DE230000,CERE,FARA,-14.58931979353446
DE230000,CERE,NOCR,14.56414079672413
DE230000,CER2,CERE,0.0
DE230000,CER2,CER2,147.7292172874457
DE230000,CER2,OILS,-25.43310912488219
DE230000,CER2,OARA,-148.9886185324904
DE230000,CER2,FARA,92.43968095355531
DE230000,CER2,NOCR,-37.06306259789641
DE230000,OILS,CERE,0.0
DE230000,OILS,CER2,0.0
DE230000,OILS,OILS,81.94417493757237
DE230000,OILS,OARA,-115.4346848714913
DE230000,OILS,FARA,-37.44201334306314
DE230000,OILS,NOCR,44.83099170367004
DE230000,OARA,CERE,0.0
DE230000,OARA,CER2,0.0
DE230000,OARA,OILS,0.0
DE230000,OARA,OARA,874.1943610239462
DE230000,OARA,FARA,29.89920049755682
DE230000,OARA,NOCR,-172.0754529829192
DE230000,FARA,CERE,0.0
DE230000,FARA,CER2,0.0
DE230000,FARA,OILS,0.0
DE230000,FARA,OARA,0.0
DE230000,FARA,FARA,81.4948132825124
DE230000,FARA,NOCR,-63.31537292225421
DE230000,NOCR,CERE,0.0
DE230000,NOCR,CER2,0.0
DE230000,NOCR,OILS,0.0
DE230000,NOCR,OARA,0.0
DE230000,NOCR,FARA,0.0
DE230000,NOCR,NOCR,77.43182081345407
DE240000,CERE,CERE,2.162789391528844
DE240000,CERE,CER2,-7.752782324756271
DE240000,CERE,OILS,3.471485309126073
DE240000,CERE,OARA,-15.91106346191656
DE240000,CERE,FARA,-16.74812461974545
DE240000,CERE,NOCR,10.4812873531429
DE240000,CER2,CERE,0.0
DE240000,CER2,CER2,44.99776282896163
DE240000,CER2,OILS,-16.40881377603436
DE240000,CER2,OARA,41.6112773994776
DE240000,CER2,FARA,54.09339125594546
DE240000,CER2,NOCR,-23.72353634597339
DE240000,OILS,CERE,0.0
DE240000,OILS,CER2,0.0
DE240000,OILS,OILS,75.54834861517749
DE240000,OILS,OARA,-45.04419513670461
DE240000,OILS,FARA,-51.70480229850936
DE240000,OILS,NOCR,24.61444344352952
DE240000,OARA,CERE,0.0
DE240000,OARA,CER2,0.0
DE240000,OARA,OILS,0.0
DE240000,OARA,OARA,151.4861970230787
DE240000,OARA,FARA,134.8457454736551
DE240000,OARA,NOCR,-88.8388756099644
DE240000,FARA,CERE,0.0
DE240000,FARA,CER2,0.0
DE240000,FARA,OILS,0.0
DE240000,FARA,OARA,0.0
DE240000,FARA,FARA,142.138934798002
DE240000,FARA,NOCR,-90.93285360708053
DE240000,NOCR,CERE,0.0
DE240000,NOCR,CER2,0.0
DE240000,NOCR,OILS,0.0
DE240000,NOCR,OARA,0.0
DE240000,NOCR,FARA,0.0
DE240000,NOCR,NOCR,65.15029654855383
DE250000,CERE,CERE,42.60516560157716
DE250000,CERE,CER2,11.83808794391428
DE250000,CERE,OILS,-23.04578725604164
DE250000,CERE,OARA,97.88775916568785
