,DCOW,SCOW,COWS,BULL,HEIF,CALV,PIGS,SOWS,HENS,POUL,SHGO
FRE1,180.24255100346,90.8614699627612,536.1462666817127,13.1699112720363,20.8933098741553,147.361263449625,607.499185940254,65.6952475780374,2.1759642214831,6.56492670904922,457.0507901162793
FRE2,114.847692755702,82.183645266096,259.46906703879694,11.5436811983109,15.4197082121697,225.615452084671,101.078522845681,9.32045744274222,1.34833355667942,4.14779238556154,221.19065163838607
FRF1,45.6068274931714,20.933051929639,670.4251689105412,3.57669028627462,5.32616543940141,58.0166599290201,107.357045427114,9.5689961728381,0.471575680597027,1.40200944165759,571.5200724251434
FRF2,91.8534998261562,119.9745018094,259.46906703879694,17.3266137983063,19.3497382608443,258.369932885832,203.941491931207,16.4160999698416,0.803119045100597,2.43037595986918,221.19065163838607
FRF3,180.208853146018,154.716367037454,259.46906703879694,27.8265709715631,30.7359496709581,207.25629559083,112.27235853151,10.8575113936833,0.296154359235793,0.904871616660576,221.19065163838607
FRG0,537.85793874554,448.260164018126,377.3599309659024,41.1245475795508,82.0242253329244,427.900696477233,1411.84742642397,118.816560609432,21.7378936620518,66.6393657725641,321.68955623555604
FRH0,768.10201150646,138.708669751492,333.5495086032968,20.1380072854242,46.4343599831775,333.963903365167,7090.10635878044,542.747013024838,27.0380409057796,82.8342457893534,284.3423071721881
FRI1,82.1061535372941,232.211036456381,606.0423809378343,6.51099372463365,27.8099041134261,261.152218025704,410.954076584338,38.0295673565952,5.62813380421333,17.3318235477499,516.6354151189618
FRI2,30.8474870663481,463.351495598189,259.46906703879694,17.2066105952282,33.6698250828298,176.285808927204,120.137494528296,9.37663472037624,0.273803888078888,0.818044728383428,221.19065163838607
FRI3,80.5132900095914,231.58466629089,259.46906703879694,8.70558616512146,23.9053523889199,295.722465499833,332.524642896632,26.5398362019907,3.09231446088739,9.42582220676601,221.19065163838607
FRJ1,17.6935904968761,83.9332567828962,385.2681480216982,4.16275799081255,7.65732105288107,157.600136525871,27.4640137734424,3.28886193657606,0.320765060138724,0.971356681791777,328.43110621618524
FRJ2,126.498704474538,453.759412894997,259.46906703879694,11.7318376202415,38.1037431378563,418.547177539363,374.025869315964,26.6204740227153,3.06050112655006,9.35703863683135,221.19065163838607
FRK1,212.38089623409,510.838159873303,299.58098718867456,19.2618337427699,57.2456085101978,282.970188076251,224.909825767319,21.7281658688367,1.60080540006935,4.85718328298599,255.38502346727049
FRK2,263.240261606782,175.915097525051,259.46906703879694,12.7718114708054,51.3621211306846,274.467731413661,279.440968017326,18.4541416136962,5.53561826408052,17.057979077209,221.19065163838607
FRL0,7.16434032906064,17.9660892849543,259.46906703879694,2.43079130739729,4.1269305863012,119.568357735183,18.0010769104649,1.59337469204817,0.204582355283289,0.621154115394718,221.19065163838607
FRM0,0.0788122265853255,34.13538489152,80.8377570477025,1.22109059680611,1.56730712962581,47.1504189520653,20.2693990077578,2.42260897359642,0.0364179777853799,0.0919596711742131,68.91209176658145
