region,SWHE,DWHE,RYEM,BARL,OATS,CORN,OCER,POTA,SUGB,SUNF,RAPE,SOYA,OOIL,PULS,TOMA,OVEG,APPL,OFRU,CITR,TAGR,WINE,OLIV,TOBA,COTT,OFIB,GRAS,MAIF,OFOD,SETA,DCOW,BCOW,BULL,HFRS,CALV,SHGP,PIGS,PIGF,LAYS,BROI,OANI
EL51,567.041606270496,333.725472561924,699.41652999677,488.791702917657,333.093246421496,891.896363804176,1087.40580117686,14509.7411598252,822.57,534.400328177854,1090.38436199134,4000.81188761969,183.544802047361,171.528989692326,2899.58403345123,2781.62850618991,2715.58432066002,879.761571582639,1809.17040875164,4916.84219100818,1312.98,460.655005019758,404.980680133096,612.6,522.18,581.283278172227,325.489315219737,522.18,522.18,2123.93261681359,560.59,985.290649704079,420.44,280.3,70.07,218.42,89.6742413619116,10.19,5.1,434.104101991929
EL52,472.223578614968,222.140179345458,494.34110487772,365.927574455837,327.136039035601,743.973136658358,1136.45111327216,11297.5912989176,822.57,708.420969280046,906.309670292713,4627.65977814754,190.428467039799,206.488546471359,2045.02913354277,1966.91743857065,1910.88106868142,822.533892703944,1683.71834984242,3397.00250430373,1312.98,723.13414111739,651.023718426318,612.6,522.18,539.179217824742,276.924763999252,522.18,522.18,2348.42936271605,560.59,996.501249082251,420.44,280.3,70.07,218.42,90.8462311839465,10.19,5.1,434.222267620204
EL53,553.833753103504,265.605653503095,727.572780035044,521.349994648119,409.286626006216,993.505574059247,1362.10732928352,10251.9359687144,822.57,518.262877312644,1212.05782336299,4873.11163272662,245.662441917513,166.544679151277,2565.61274728899,2465.33359526597,2414.11448318531,929.634289768437,1458.8968126951,4132.35024792564,1312.98,337.139569783596,446.072277996962,612.6,522.18,391.648585000999,256.30474213559,522.18,522.18,2000.23272438574,560.59,991.733377901028,420.44,280.3,70.07,218.42,88.984703773984,10.19,5.1,434.320213885981
EL54,585.882449782639,248.321487031613,384.807943446171,416.682605473375,409.283492868382,900.90826887019,1362.20290815731,8651.25510174037,822.57,500.76352895792,577.83,7352.22102765967,249.57,167.551956175246,2566.80649606134,2456.22112249756,2390.7099813715,695.358900124613,1522.87243354377,4128.19429130636,1312.98,344.766653012906,612.6,612.6,522.18,638.31304142203,139.550395650924,522.18,522.18,1813.03046952474,560.59,971.709222902969,420.44,280.3,70.07,218.42,94.2712907316278,10.19,5.1,433.840622022278
EL61,600.203347253783,311.366583587379,662.774582123719,419.850160130299,327.064735564486,868.901502868537,1130.67856105205,10600.0797348399,822.57,697.954552984175,887.045841650434,4319.39667545746,852.094841283539,206.199747014866,2026.5351251264,1946.01665169331,1939.66418336852,818.617123535547,1634.11358234049,3413.47704185326,1312.98,624.178762782871,763.917721024105,612.6,522.18,596.196996847261,325.899599506126,522.18,522.18,2101.4211134244,560.59,988.166720383926,420.44,280.3,70.07,218.42,92.7218132630293,10.19,5.1,433.625484896213
EL62,566.444741179718,280.118387412506,461.014136730979,423.210473779055,406.106690599554,397.622454876611,1361.80203715126,6919.43148870721,822.57,404.56,577.83,603.76,249.57,147.015003698346,2567.4795244625,2459.46111338543,2389.54466605597,695.671432270007,1492.67450910342,4306.73005523801,1312.98,325.015945514704,612.6,612.6,522.18,522.18,971.932729006458,522.18,522.18,2228.18048243875,560.59,985.342987472246,420.44,280.3,70.07,218.42,89.4614998983408,10.19,5.1,440.814921251985
EL63,566.042003077518,189.456550371329,762.90282710093,304.292475292742,406.192782128711,874.587683468134,1355.85762357521,9194.73429671523,822.57,569.876429949309,577.83,6791.91732908255,444.868906287914,243.514601489403,2530.01846561937,2420.47253386894,2449.59663695485,668.369115911244,1489.43318928342,4182.4081369219,1312.98,240.294764903061,612.6,612.6,522.18,522.18,573.578454888606,522.18,522.18,2131.13393871031,560.59,968.936243560376,420.44,280.3,70.07,218.42,91.8436339757376,10.19,5.1,431.036364016513
EL64,600.184630099044,329.577959799277,654.444411716995,489.899935379938,408.998363059731,981.084865049154,1360.50859588527,9238.53658031247,822.57,423.39540430356,1266.90854516483,6557.47035743087,153.118476111556,195.775407840418,2564.09444901929,2449.96955943706,2392.22964446619,680.412670336363,1477.57498805734,4349.25250484405,1312.98,292.826775615183,612.6,612.6,522.18,522.18,252.409745890996,522.18,522.18,2164.25864832957,560.59,979.259788256146,420.44,280.3,70.07,218.42,92.7328800431472,10.19,5.1,433.99785440786
EL65,512.447854240291,290.377714177242,680.249491420475,396.040327915956,410.874951011461,847.95675996804,1361.03629522795,8806.32337500949,822.57,282.963709896051,1204.11728191185,603.76,198.191042068117,203.140187720868,2563.15431819147,2451.92291596133,2396.26061997389,695.108391428966,1523.86013846468,4117.13881407121,1312.98,406.481083388772,612.6,612.6,522.18,446.835947928887,124.862731858157,522.18,522.18,1823.1964911723,560.59,974.60627498822,420.44,280.3,70.07,218.42,91.6654975201006,10.19,5.1,431.57283373073
PT11,433.675413053524,489.766255320189,378.653608966425,306.803371365776,410.764093411856,980.812932063939,438.137027189844,3513.021548672,631.74,582.777318950153,443.77,463.69,2553.76741722807,1208.84191183098,4394.33403924746,6482.15807791472,5293.007292671,2031.43307707547,3413.30258819629,59459.8669087138,1312.98,626.494756539777,1871.57887181468,1018.62,485.23,369.980155029966,705.134804781148,485.23,485.23,2170.28451013664,415.74,1487.50690234114,311.81,207.87,51.97,218.42,77.4371066385166,10.19,5.1,505.399111435955
