model_region,activity,nutrient,value
AT21,CATA,N,82.4055715246167
AT21,CATA,P2O5,50.5802444107957
AT21,CATA,K2O,126.752634710734
AT21,BEFM,N,82.5551843251743
AT21,BEFM,P2O5,48.5583432885895
AT21,BEFM,K2O,129.548061810532
AT21,PKPL,N,62.9754178098127
AT21,PKPL,P2O5,33.0894175163845
AT21,PKPL,K2O,35.3918698670458
AT21,AGGT,N,64.7341118504222
AT21,AGGT,P2O5,29.2567148255911
AT21,AGGT,K2O,62.81729550334
AT21,CACR,N,82.2726619700424
AT21,CACR,P2O5,52.3764141004486
AT21,CACR,K2O,124.269297928758
AT21,UVAG,N,630.972867957033
AT21,UVAG,P2O5,882.022020444039
AT21,UVAG,K2O,345.13704966473
AT21,EAAG,N,16.4986819857182
AT21,EAAG,P2O5,10.4232815268736
AT21,EAAG,K2O,8.75730143008649
AT21,UAAR,N,53.9959401992915
AT21,UAAR,P2O5,14.8453411608274
AT21,UAAR,K2O,29.1094212429393
AT22,SWHE,N,42.5123833893375
AT22,SWHE,P2O5,13.3949699493241
AT22,SWHE,K2O,80.3698196959444
AT22,DWHE,N,37.0465901662742
AT22,DWHE,P2O5,10.1154940154861
AT22,DWHE,K2O,60.6929640929166
AT22,RYEM,N,36.0341074141736
AT22,RYEM,P2O5,9.50800436422573
AT22,RYEM,K2O,57.0480261853544
AT22,BARL,N,41.4085159091065
AT22,BARL,P2O5,12.7326494611855
AT22,BARL,K2O,76.395896767113
AT22,OATS,N,37.5611569579626
AT22,OATS,P2O5,10.4242340904991
AT22,OATS,K2O,62.5454045429948
AT22,CORN,N,158.884948698603
AT22,CORN,P2O5,66.5614950089049
AT22,CORN,K2O,41.6009343805656
AT22,OCER,N,33.8401132661833
AT22,OCER,P2O5,8.19160787543157
AT22,OCER,K2O,49.1496472525894
AT22,RAPE,N,85.9882400485255
AT22,RAPE,P2O5,35.8913490407608
AT22,RAPE,K2O,19.9396383559782
AT22,SUNF,N,62.1246254107742
AT22,SUNF,P2O5,23.9641096782724
AT22,SUNF,K2O,35.9461645174087
AT22,SOYA,N,118.492493744723
AT22,SOYA,P2O5,27.1186373161174
AT22,SOYA,K2O,40.677955974176
AT22,OOIL,N,37.9636746929394
AT22,OOIL,P2O5,9.48066198354242
AT22,OOIL,K2O,9.48066198354242
AT22,NURS,N,151.120844668866
AT22,NURS,P2O5,87.3290124239573
AT22,NURS,K2O,79.3900112945066
AT22,FLOW,N,151.120844668866
AT22,FLOW,P2O5,104.746728956055
AT22,FLOW,K2O,91.653387836548
AT22,OCRO,N,76.6705070676427
AT22,OCRO,P2O5,20.0423809526548
AT22,OCRO,K2O,18.2203463205953
AT22,MAIF,N,40.9683417908987
AT22,MAIF,P2O5,12.4810260162771
AT22,MAIF,K2O,27.4582572358096
AT22,ROOF,N,57.5522684163623
AT22,ROOF,P2O5,18.6824174712825
AT22,ROOF,K2O,65.797809560875
AT22,OFAR,N,66.2558704430588
AT22,OFAR,P2O5,12.2901428294404
AT22,OFAR,K2O,26.336020348801
AT22,GRAE,N,43.0651940120232
AT22,GRAE,P2O5,8.27048844592584
AT22,GRAE,K2O,19.297806373827
AT22,GRAI,N,73.5688747296576
