model_region,activity,item,value
AT21,CAFR,CRPR,0.507973760912134
AT21,CAFR,DRMN,3.17671455882353
AT21,CAFR,DRMX,-4.76507183823529
AT21,CAFR,DAYS,340.0
AT21,PIGF,ENNE,19.4750954669236
AT21,PIGF,CRPR,0.424925544461323
AT21,PIGF,DRMN,2.30905135485982
AT21,PIGF,DRMX,-2.77086162583178
AT21,PIGF,DAYS,155.955821096003
AT21,SOWS,ENNE,30.9377708437476
AT21,SOWS,CRPR,0.712114768781898
AT21,SOWS,DRMN,3.59408015537896
AT21,SOWS,DRMX,-4.31289618645475
AT21,SOWS,DAYS,365.0
AT21,SHGM,ENNE,6.79988785242186
AT21,SHGM,CRPR,0.142160143235599
AT21,SHGM,DRMN,1.791706445003
AT21,SHGM,DRMX,-2.6875596675045
AT21,SHGM,DAYS,365.0
AT21,SHGF,ENNE,2.94371068408691
AT21,SHGF,CRPR,0.0643676705460623
AT21,SHGF,DRMN,0.444642080331464
AT21,SHGF,DRMX,-0.666963120497196
AT21,SHGF,DAYS,274.127161957923
AT21,HENS,ENNE,847.364531685042
AT21,HENS,CRPR,17.7871830700745
AT21,HENS,DRMN,84.1586507550832
AT21,HENS,DRMX,-157.797470165781
AT21,HENS,DAYS,365.0
AT21,POUF,ENNE,919.22830317075
AT21,POUF,CRPR,21.671441167263
AT21,POUF,DRMN,74.3520418895426
AT21,POUF,DRMX,-111.528062834314
AT21,POUF,DAYS,55.2839962723273
AT21,DCOW,ENNE,112.143494063157
AT21,DCOW,CRPR,2.35424853899761
AT21,DCOW,DRMN,16.6004575657699
AT21,DCOW,DRMX,-19.9205490789239
AT21,DCOW,DAYS,365.0
AT21,BULF,ENNE,69.0571209526077
AT21,BULF,CRPR,1.42164333753326
AT21,BULF,DRMN,10.0869803998574
AT21,BULF,DRMX,-15.1304705997861
AT21,BULF,DAYS,302.424620971552
AT21,HEIF,ENNE,55.3132692844541
AT21,HEIF,CRPR,1.14798850202333
AT21,HEIF,DRMN,9.45145216912251
AT21,HEIF,DRMX,-14.1771782536838
AT21,HEIF,DAYS,414.377967088983
AT21,CATA,ENNE,78.0740090026278
AT21,CATA,CRPR,1.61587156924865
AT21,CATA,DRMN,12.1137842595175
AT21,CATA,DRMX,-15.7790781911708
AT21,BEFM,ENNE,74.1729972386837
AT21,BEFM,CRPR,1.5370110692025
AT21,BEFM,DRMN,12.0553363536282
AT21,BEFM,DRMX,-15.6712488623566
AT21,PKPL,ENNE,208.815693075755
AT21,PKPL,CRPR,4.75590208586992
AT21,PKPL,DRMN,20.7440635342166
AT21,PKPL,DRMX,-28.928238718143
AT22,DCOL,ENNE,99.1538869369533
AT22,DCOL,CRPR,2.09236654163833
AT22,DCOL,DRMN,15.4635175375404
AT22,DCOL,DRMX,-18.5562210450485
AT22,DCOL,DAYS,365.0
AT22,DCOH,ENNE,129.187240719809
AT22,DCOH,CRPR,2.80587893400381
AT22,DCOH,DRMN,18.1427635330277
AT22,DCOH,DRMX,-21.7713162396333
AT22,DCOH,DAYS,365.0
AT22,BULL,ENNE,48.8450608329538
AT22,BULL,CRPR,1.03085004627727
AT22,BULL,DRMN,7.02825134251477
AT22,BULL,DRMX,-10.5423770137721
AT22,BULL,DAYS,208.169279365492
AT22,BULH,ENNE,58.2233353280814
AT22,BULH,CRPR,1.21565070436513
AT22,BULH,DRMN,8.05417124452809
AT22,BULH,DRMX,-12.0812568667921
AT22,BULH,DAYS,318.477607901204
AT22,HEIL,ENNE,45.4711423454688
AT22,HEIL,CRPR,0.951858015819557
AT22,HEIL,DRMN,7.62132019203867
AT22,HEIL,DRMX,-11.431980288058
AT22,HEIL,DAYS,275.127990513067
AT22,HEIH,ENNE,54.8719368346989
AT22,HEIH,CRPR,1.1424910898148
AT22,HEIH,DRMN,8.72659326209473
AT22,HEIH,DRMX,-13.0898898931421
AT22,HEIH,DAYS,411.980881951152
AT22,SCOW,ENNE,62.0500433906322
AT22,SCOW,CRPR,1.3123316055038
AT22,SCOW,DRMN,10.8915501990367
AT22,SCOW,DRMX,-13.0698602388441
AT22,SCOW,DAYS,365.0
AT22,HEIR,ENNE,37.0436302118879
AT22,HEIR,CRPR,0.781682637224518
AT22,HEIR,DRMN,8.22959436740578
AT22,HEIR,DRMX,-12.3443915511087
AT22,HEIR,DAYS,604.714326005589
AT22,CAMF,ENNE,21.7432256862233
AT22,CAMF,CRPR,0.443807283625143
AT22,CAMF,DRMN,2.73626967617828
AT22,CAMF,DRMX,-4.10440451426742
AT22,CAMF,DAYS,169.275948023198
AT22,CAFF,ENNE,22.6673178676749
AT22,CAFF,CRPR,0.462383421599335
AT22,CAFF,DRMN,2.73988667322592
AT22,CAFF,DRMX,-4.10983000983888
AT22,CAFF,DAYS,169.663659778815
AT22,CAMR,ENNE,25.5759930116315
AT22,CAMR,CRPR,0.522547472683041
AT22,CAMR,DRMN,3.26593367647059
AT22,CAMR,DRMX,-4.89890051470588
AT22,CAMR,DAYS,340.0
AT22,CAFR,ENNE,24.3125508188583
AT22,CAFR,CRPR,0.495752605882185
AT22,CAFR,DRMN,3.23129761937259
AT22,CAFR,DRMX,-4.84694642905889
AT22,CAFR,DAYS,354.194742844032
AT22,PIGF,ENNE,19.5718674252338
AT22,PIGF,CRPR,0.47012300484929
AT22,PIGF,DRMN,2.30905135485982
AT22,PIGF,DRMX,-2.77086162583178
AT22,PIGF,DAYS,155.955821096003
AT22,SOWS,ENNE,30.8337583148803
AT22,SOWS,CRPR,0.728955701243538
AT22,SOWS,DRMN,3.5938722361694
AT22,SOWS,DRMX,-4.31264668340327
AT22,SOWS,DAYS,365.0
AT22,SHGM,ENNE,6.7146799406883
AT22,SHGM,CRPR,0.142422590055005
AT22,SHGM,DRMN,1.79171780057078
AT22,SHGM,DRMX,-2.68757670085617
AT22,SHGM,DAYS,365.0
AT22,SHGF,ENNE,2.91222603058531
AT22,SHGF,CRPR,0.0638855899257473
AT22,SHGF,DRMN,0.444644840282133
AT22,SHGF,DRMX,-0.666967260423199
AT22,SHGF,DAYS,274.127161957923
AT22,HENS,ENNE,822.714287163605
AT22,HENS,CRPR,19.114622866154
AT22,HENS,DRMN,84.1601356349988
AT22,HENS,DRMX,-157.800254315623
AT22,HENS,DAYS,365.0
AT22,POUF,ENNE,918.652206146087
AT22,POUF,CRPR,22.2029133086607
AT22,POUF,DRMN,74.353651562672
AT22,POUF,DRMX,-111.530477344008
AT22,POUF,DAYS,55.2839962723273
AT22,DCOW,ENNE,114.170563828359
AT22,DCOW,CRPR,2.44912273782059
AT22,DCOW,DRMN,16.8031405352807
AT22,DCOW,DRMX,-20.1637686423369
AT22,DCOW,DAYS,365.0
AT22,BULF,ENNE,84.1884804885327
AT22,BULF,CRPR,1.7664361417021
AT22,BULF,DRMN,11.8593934832018
AT22,BULF,DRMX,-17.7890902248028
AT22,BULF,DAYS,263.323443633366
AT22,HEIF,ENNE,70.1398440644085
AT22,HEIF,CRPR,1.4639506868418
AT22,HEIF,DRMN,11.4271966718557
AT22,HEIF,DRMX,-17.1407950077836
AT22,HEIF,DAYS,343.554436232097
AT22,CATA,ENNE,83.7024762317462
AT22,CATA,CRPR,1.77133140719899
AT22,CATA,DRMN,12.8047327490075
AT22,CATA,DRMX,-16.7851457949303
AT22,BEFM,ENNE,78.8134873690221
AT22,BEFM,CRPR,1.65791119576717
AT22,BEFM,DRMN,12.5421343015466
AT22,BEFM,DRMX,-17.0448923329465
AT22,PKPL,ENNE,173.518446924452
AT22,PKPL,CRPR,4.16506214848372
AT22,PKPL,DRMN,18.1081030283338
AT22,PKPL,DRMX,-23.9440947313413
AT31,DCOL,ENNE,103.223440166901
AT31,DCOL,CRPR,2.11625828936332
AT31,DCOL,DRMN,15.4811420738433
AT31,DCOL,DRMX,-18.577370488612
AT31,DCOL,DAYS,365.0
AT31,DCOH,ENNE,133.840356367528
AT31,DCOH,CRPR,2.91228243732682
AT31,DCOH,DRMN,18.1721243045956
AT31,DCOH,DRMX,-21.8065491655147
AT31,DCOH,DAYS,365.0
AT31,BULL,ENNE,57.9635499522513
AT31,BULL,CRPR,1.1550185805862
AT31,BULL,DRMN,7.02410906893551
